MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK470,P002,PL03,S027,24999000,98,46,4.978260869565218,256GB,2024-03-23
MK471,P002,PL03,S020,26490000,6,4,5.0,512GB,2024-03-23
MK472,P002,PL03,S021,18790000,7,5,4.4,256GB,2024-03-23
MK473,P002,PL03,S022,14790000,251,97,4.969072164948454,256GB,2024-03-23
MK474,P002,PL03,S023,21990000,120,89,5.0,256GB,2024-03-23
MK475,P002,PL03,S024,24990000,8,6,5.0,256GB,2024-03-23
MK476,P002,PL03,S025,21990000,1,1,5.0,256GB,2024-03-23
MK477,P002,PL03,S026,21649000,3,2,5.0,512GB,2024-03-23
MK478,P002,PL03,S028,18599000,129,53,4.867924528301887,256GB,2024-03-23
MK479,P002,PL03,S027,14999000,20,8,5.0,128GB,2024-03-23
MK480,P002,PL03,S028,22990000,246,89,4.741573033707865,128GB,2024-03-23
MK481,P002,PL03,S028,30071000,127,25,4.68,256GB,2024-03-23
MK482,P002,PL03,S033,26990000,17,9,5.0,512GB,2024-03-23
MK483,P002,PL03,S031,24290000,2,1,5.0,256GB,2024-03-23
MK484,P002,PL03,S029,22900000,2,2,5.0,256GB,2024-03-23
MK485,P002,PL03,S030,31990000,4,1,5.0,256GB,2024-03-23
MK486,P002,PL03,S031,26990000,1,0,0.0,512GB,2024-03-23
MK487,P002,PL03,S032,25999000,1,1,5.0,256GB,2024-03-23
MK488,P002,PL03,S033,14990000,74,33,4.96969696969697,128GB,2024-03-23
MK489,P002,PL03,S034,21990000,23,22,5.0,256GB,2024-03-23
MK490,P002,PL03,S035,20990000,66,21,4.857142857142857,256GB,2024-03-23
